Company Name,Sector
Bennett and Game Recruitment Limited,Recruitment
Adecco,Recruitment
Diligenta,Financial Services
PN Daly Limited,Construction
One Big Circle Limited,Technology
ARGID Limited,Consulting
Hyperexponential,Technology
Albany Beck,Consulting
Cognism,Technology
Michael Bailey Associates,Recruitment
i-neda Limited,Technology
Count,Financial Technology
Kingsway Group,Manufacturing
Mencap,Non-Profit
Performance Analyst,Consulting
Accountable Recruitment Limited,Recruitment
Royal Pharmacy Society,Healthcare
Gateley,Legal Services
La Fosse Associates Limited,Recruitment
Artefact,Consulting
Hays,Recruitment
Just Group,Financial Services
myairops,Technology
Zeki,Technology
Matchtech Technology,Recruitment
SciPro,Recruitment
Micropathology Limited,Healthcare
Barker Ross,Recruitment
Information Tech Consultants,Consulting
Pontoon,Recruitment
Jisc,Education Technology
Hyper Recruitment Solutions Limited,Recruitment
CK Group,Recruitment
Omnicom,Advertising
RBW Consulting,Recruitment
BIOVIA,Technology
Capua,Consulting
Veeva Systems Inc,Technology
Speechmatics,Technology
AYKO Digital Limited,Technology
reallymoving,Real Estate
Marex,Financial Services
Janus Henderson,Financial Services
Munich Re Specialty - Global Markets,Insurance
Aspen Insurance Group,Insurance
Portfolio Information Analyst,Financial Services
JSK Consultancy Limited,Consulting
YouLend,Financial Technology
2i Recruit Limited,Recruitment
Hunter AHP Resourcing,Recruitment
Financial Conduct Authority,Government
Randstad,Recruitment
Aspire People,Recruitment
Career Sprint,Recruitment
JobWize,Recruitment
Mane Contract Services,Recruitment
Danaher,Conglomerate
Trutex Limited,Manufacturing
Technology Summer Internship (London),Recruitment
Credit Agricole CIB,Financial Services
Reed Technology,Recruitment
Illuma Technology,Technology
Mimecast,Technology
Cosourced,Consulting
SAVA,Consulting
Octopus Energy Group,Energy
Gekko,Marketing
Xelix,Technology
How to Job Limited,Recruitment
Gate.io,Financial Technology
Ambee Beauty Clinic,Healthcare
Pennylane,Financial Technology
VFS Global UK Limited,Services
Local Solution,Non-Profit
Roundsys Limited,Technology
Sammons Recruitment Limited,Recruitment
GoLondon Group,Recruitment
RJC Group,Recruitment
Austin Fraser,Recruitment
Hexwired Recruitment Limited,Recruitment
Eligo Recruitment Limited,Recruitment
Illumina,Biotechnology
Systems Accountants,Recruitment
Alvarium Talent,Recruitment
Universities Superannuation Scheme (Limited),Financial Services
Accolite,Information Technology
ITonlinelearning,Education
MedMatch,Healthcare
Holiferm,Biotechnology
MJ Quinn Integrated Services,Telecommunications
FinElk,Public Relations
DataConsulting,Consulting
Affinity Water,Utilities
Harnham,Recruitment
BlackRock,Financial Services
Captify®,Marketing Technology
Innovate,Consulting
Next Gen Diagnostics,Healthcare
Ripple,Financial Technology
Checkout.com,Financial Technology
Intellect Group,Recruitment
King,Gaming
ACI Marketing Limited,Marketing
Sharpsmart,Healthcare
Nichola Act,Recruitment
Legal and General,Financial Services
Yassir,Transportation Technology
eToro,Financial Technology
UCB,Pharmaceuticals
ASOS,Retail
Network IT,Recruitment
VRS-UK,Recruitment
PEP Health,Healthcare Technology
Intec Select,Recruitment
Rightmove,Real Estate
ExamWorksUK,Healthcare
Locke and McCloud,Recruitment
Aviva,Financial Services
Stephens Harwood,Legal Services
Multiverse,Education Technology
Yes Energy LLC,Energy
Digital Realty,Real Estate
Longshot Systems Limited,Technology
TVS Supply Chain Solutions,Logistics
Ripjar,Technology
Siemens,Conglomerate
Sky,Media
Hed Workshop,Design
Dentsu,Advertising
Stott & May Professional Search Limited,Recruitment
In Technology Group,Recruitment
Reds10 (UK) Limited,Construction
Trustpilot,Technology
Rise Technical Recruitment Limited,Recruitment
Ben,Automotive
Euro Car Parks,Parking Services
Right Now Residential,Real Estate
Frontier Economics,Consulting
SDG Group UK,Consulting
Parico,Unknown
Space NK,Retail
Thredd,Financial Technology
Retail Reporting Analyst,Retail
Alfa Technology,Technology
Tencent,Technology
Butterworth Laboratories,Laboratories
SRG,Recruitment
CBSbutler Holdings,Recruitment
TVS SCS,Logistics
1SM,Unknown
Spectrum IT Recruitment,Recruitment
Russell Taylor Group Limited,Recruitment
Search Allies Limited,Recruitment
S3 Science,Recruitment
Acorn by Synergie,Recruitment
Alexander Steele,Recruitment
Tritility Limited,Energy
Brown Turner Ross Limited,Legal Services
Simplyhealth,Healthcare
Grayce,Consulting
eBay,E-commerce
ConsoneAI,Artificial Intelligence
Anthony Nolan,Non-Profit
Bennett and Game Recruitment Limited,Recruitment
Adecco,Recruitment
Diligenta,Financial Services
PN Daly Limited,Construction
One Big Circle Limited,Technology
ARGID Limited,Unknown
Hyperexponential,Technology
Albany Beck,Consulting
Cognism,Technology
Michael Bailey Associates,Recruitment
i-neda Limited,Technology
Count,Financial Technology
Kingsway Group,Manufacturing
Mencap,Non-Profit
Performance Analyst,Unknown
Accountable Recruitment Limited,Recruitment
Royal Pharmacy Society,Healthcare
Gateley,Legal Services
La Fosse Associates Limited,Recruitment
Artefact,Consulting
Hays,Recruitment
Just Group,Financial Services
myairops,Technology
Zeki,Unknown
Matchtech Technology,Recruitment
SciPro,Recruitment
Micropathology Limited,Healthcare
Barker Ross,Recruitment
Information Tech Consultants,Consulting
Pontoon,Recruitment
Jisc,Education Technology
Hyper Recruitment Solutions Limited,Recruitment
CK Group,Recruitment
Omnicom,Advertising
RBW Consulting,Recruitment
BIOVIA,Biotechnology
Capua,Unknown
Veeva Systems Inc,Technology
Speechmatics,Technology
AYKO Digital Limited,Technology
reallymoving,Real Estate
Marex,Financial Services
Janus Henderson,Financial Services
Munich Re Specialty - Global Markets,Insurance
Aspen Insurance Group,Insurance
Portfolio Information Analyst,Unknown
JSK Consultancy Limited,Consulting
YouLend,Financial Technology
2i Recruit Limited,Recruitment
Hunter AHP Resourcing,Recruitment
Financial Conduct Authority,Government
Randstad,Recruitment
Aspire People,Recruitment
Career Sprint,Unknown
JobWize,Unknown
Mane Contract Services,Recruitment
Danaher,Conglomerate
Trutex Limited,Manufacturing
Credit Agricole CIB,Financial Services
Illuma Technology,Technology
Mimecast,Technology
Cosourced,Unknown
SAVA,Unknown
Octopus Energy Group,Energy
Gekko,Marketing
Xelix,Technology
How to Job Limited,Unknown
Gate.io,Financial Technology
Connexa,Recruitment
Ambee Beauty Clinic,Healthcare
Pennylane,Financial Technology
VFS Global UK Limited,Outsourcing
Local Solution,Unknown
Roundsys Limited,Unknown
Sammons Recruitment Limited,Recruitment
GoLondon Group,Recruitment
Diversita,Unknown
TXM Recruit,Recruitment
Harnham,Recruitment
BlackRock,Financial Services
Captify®,Marketing Technology
Innovate,Consulting
Next Gen Diagnostics,Healthcare
Ripple,Technology (Blockchain)
Checkout.com,Financial Technology
Intellect Group,Recruitment
King,Entertainment (Gaming)
ACI Marketing Limited,Marketing
Sharpsmart,Healthcare Services
Nichola Act,Recruitment
Legal and General,Financial Services
Yassir,Technology (Ride-Hailing)
eToro,Financial Technology
UCB,Pharmaceuticals
ASOS,Retail (E-commerce)
Network IT,Recruitment
VRS-UK,Recruitment
PEP Health,Healthcare Technology
Intec Select,Recruitment
Rightmove,Real Estate
ExamWorksUK,Healthcare Services
Locke and McCloud,Recruitment
Aviva,Financial Services
Stephens Harwood,Legal Services
Multiverse,Education Technology
Yes Energy LLC,Energy
Digital Realty,Real Estate (Data Centers)
Longshot Systems Limited,Technology
TVS Supply Chain Solutions,Logistics
Ripjar,Technology (Data Intelligence)
Siemens,Conglomerate (Engineering)
Sky,Media and Telecommunications
Hed Workshop,Design
Dentsu,Marketing
Stott & May Professional Search Limited,Recruitment
In Technology Group,Recruitment
Reds10 (UK) Limited,Construction
Trustpilot,Technology (Reviews Platform)
Rise Technical Recruitment Limited,Recruitment
Ben,Non-Profit (Automotive Industry)
Euro Car Parks,Parking Services
Right Now Residential,Real Estate
Frontier Economics,Consulting
SDG Group UK,Consulting
Parico,Technology
Space NK,Retail (Beauty)
Thredd,Technology
Retail Reporting Analyst,Retail
Alfa Technology,Technology
Tencent,Technology (Gaming)
Butterworth Laboratories,Pharmaceuticals
SRG,Recruitment
CBSbutler Holdings,Recruitment
TVS SCS,Logistics
1SM,Unknown
Spectrum IT Recruitment,Recruitment
Russell Taylor Group Limited,Recruitment
Search Allies Limited,Recruitment
S3 Science,Recruitment
Acorn by Synergie,Recruitment
Alexander Steele,Recruitment
Tritility Limited,Energy Consultancy
Brown Turner Ross Limited,Legal Services
Simplyhealth,Healthcare
Grayce,Consulting
eBay,E-commerce
ConsoneAI,Technology (AI)
Anthony Nolan,Non-Profit (Healthcare)
Bennett and Game Recruitment Limited,Recruitment
Adecco,Recruitment
Diligenta,Financial Services
PN Daly Limited,Construction
One Big Circle Limited,Technology
ARGID Limited,Unknown
hyperexponential,Technology (Software)
Albany Beck,Consulting
Cognism,Technology (Sales Intelligence)
Michael Bailey Associates,Recruitment
i-neda Limited,Technology
Count,Unknown
Kingsway Group,Healthcare
Mencap,Non-Profit (Disability)
Performance Analyst,Unknown
Accountable Recruitment Limited,Recruitment
Royal Pharmacy Society,Healthcare
Gateley,Legal Services
La Fosse Associates Limited,Recruitment
Artefact,Consulting
Hays,Recruitment
Just Group,Financial Services
myairops,Technology (Aviation)
Zeki,Unknown
Matchtech Technology,Recruitment
SciPro,Recruitment
Micropathology Limited,Healthcare
Barker Ross,Recruitment
Information Tech Consultants,Consulting
Pontoon,Recruitment
Jisc,Education Technology
Hyper Recruitment Solutions Limited,Recruitment
CK Group,Recruitment
Omnicom,Marketing
RBW Consulting,Recruitment
BIOVIA,Technology (Life Sciences)
Capua,Unknown
Veeva Systems Inc,Technology (Life Sciences)
Speechmatics,Technology (Speech Recognition)
AYKO Digital Limited,Technology (E-commerce)
reallymoving,Real Estate
Marex,Financial Services
Janus Henderson,Financial Services
Munich Re Specialty - Global Markets,Insurance
Aspen Insurance Group,Insurance
Portfolio Information Analyst,Unknown
JSK Consultancy Limited,Consulting
YouLend,Financial Technology
2i Recruit Limited,Recruitment
Hunter AHP Resourcing,Recruitment
Financial Conduct Authority,Government
Randstad,Recruitment
Aspire People,Recruitment
Career Sprint,Recruitment
JobWize,Recruitment
Mane Contract Services,Recruitment
Danaher,Conglomerate (Life Sciences)
Trutex Limited,Retail (Clothing)
Technology Summer Internship (London),Unknown
Credit Agricole CIB,Financial Services
Reed Technology,Recruitment
Illuma Technology,Technology
Mimecast,Technology (Cybersecurity)
Cosourced,Unknown
SAVA,Unknown
Octopus Energy Group,Energy
Gekko,Marketing
Xelix,Technology (Finance)
How to Job Limited,Recruitment
Gate.io,Financial Technology (Cryptocurrency)
Ambee Beauty Clinic,Healthcare (Beauty)
Pennylane,Financial Technology
VFS Global UK Limited,Travel Services
Local Solution,Unknown
Roundsys Limited,Unknown
Sammons Recruitment Limited,Recruitment
GoLondon Group,Recruitment
Diversita,Recruitment
TXM Recruit,Recruitment
EDF Limited,Energy
Barrington James,Recruitment
BBC,
EDF Limited,Energy
Barrington James,Recruitment
BBC,Media
H-E-B,Retail (Supermarket)
SpaceX,Aerospace
Zachry Group,Construction
David Weekley Homes,Construction
Perry Homes,Real Estate
Neiman Marcus Group,Retail (Luxury)
General Motors,Automotive
General Electric,Conglomerate
Brookfield,Financial Services
Apollo Global Management,Financial Services
Blackstone,Financial Services
Hanson,Conglomerate
BTR,Conglomerate
TPG Inc.,Financial Services
Walmart,Retail
Amazon,E-commerce
Apple,Technology
UnitedHealth Group,Healthcare
Berkshire Hathaway,Conglomerate
CVS Health,Healthcare
ExxonMobil,Energy
Alphabet Inc.,Technology
McKesson Corporation,Healthcare
Cencora,Healthcare
Costco,Retail
JPMorgan Chase,Financial Services
Microsoft,Technology
Cardinal Health,Healthcare
Chevron Corporation,Energy
Cigna,Healthcare
Ford Motor Company,Automotive
Bank of America,Financial Services
General Motors,Automotive
Elevance Health,Healthcare

